date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:44:38	1073/1073	U-----	200	untouched ('')	text/x-haskell	etag:%22431-4d98de8d916c0%22	http://www.cis.upenn.edu/~cis194/spring13/extras/02-ADTs/Log.hs	www.cis.upenn.edu/_cis194/spring13/extras/02-ADTs/Log.hs	(from http://www.cis.upenn.edu/~cis194/spring13/lectures.html)
09:44:38	13789/13789	U-----	200	untouched ('')	text/x-literate-haskell	etag:%2235dd-4d98de8e85900%22	http://www.cis.upenn.edu/~cis194/spring13/lectures/03-rec-poly.lhs	www.cis.upenn.edu/_cis194/spring13/lectures/03-rec-poly.lhs	(from http://www.cis.upenn.edu/~cis194/spring13/lectures.html)
09:44:38	238785/238785	U-----	200	untouched ('')	application/pdf	etag:%223a4c1-4d98de8e85900%22	http://www.cis.upenn.edu/~cis194/spring13/hw/03-rec-poly.pdf	www.cis.upenn.edu/_cis194/spring13/hw/03-rec-poly.pdf	(from http://www.cis.upenn.edu/~cis194/spring13/lectures.html)
09:44:38	24844/24844	U-----	200	untouched ('OK')	text/html	etag:%22610c-4d98de8e85900%22	http://www.cis.upenn.edu/~cis194/spring13/lectures/04-higher-order.html	www.cis.upenn.edu/_cis194/spring13/lectures/04-higher-order.html	(from http://www.cis.upenn.edu/~cis194/spring13/lectures.html)
09:44:38	23153/23153	U-----	200	untouched ('OK')	text/html	etag:%225a71-4d98de8e85900%22	http://www.cis.upenn.edu/~cis194/spring13/lectures/03-rec-poly.html	www.cis.upenn.edu/_cis194/spring13/lectures/03-rec-poly.html	(from http://www.cis.upenn.edu/~cis194/spring13/lectures.html)
09:44:38	83036/83036	U-----	200	untouched ('')	application/pdf	etag:%221445c-4d98de8e85900%22	http://www.cis.upenn.edu/~cis194/spring13/hw/04-higher-order.pdf	www.cis.upenn.edu/_cis194/spring13/hw/04-higher-order.pdf	(from http://www.cis.upenn.edu/~cis194/spring13/lectures.html)
09:44:38	26602/26602	U-----	200	untouched ('OK')	text/html	etag:%2267ea-4d98de8f79b40%22	http://www.cis.upenn.edu/~cis194/spring13/lectures/05-type-classes.html	www.cis.upenn.edu/_cis194/spring13/lectures/05-type-classes.html	(from http://www.cis.upenn.edu/~cis194/spring13/lectures.html)
09:44:38	13874/13874	U-----	200	untouched ('')	text/x-literate-haskell	etag:%223632-4d98de8e85900%22	http://www.cis.upenn.edu/~cis194/spring13/lectures/04-higher-order.lhs	www.cis.upenn.edu/_cis194/spring13/lectures/04-higher-order.lhs	(from http://www.cis.upenn.edu/~cis194/spring13/lectures.html)
09:44:38	15958/15958	U-----	200	untouched ('')	text/x-literate-haskell	etag:%223e56-4d98de8f79b40%22	http://www.cis.upenn.edu/~cis194/spring13/lectures/05-type-classes.lhs	www.cis.upenn.edu/_cis194/spring13/lectures/05-type-classes.lhs	(from http://www.cis.upenn.edu/~cis194/spring13/lectures.html)
09:44:39	125/125	U-----	200	untouched ('')	text/x-haskell	etag:%227d-4d98de8d916c0%22	http://www.cis.upenn.edu/~cis194/spring13/extras/05-type-classes/ExprT.hs	www.cis.upenn.edu/_cis194/spring13/extras/05-type-classes/ExprT.hs	(from http://www.cis.upenn.edu/~cis194/spring13/lectures.html)
09:44:39	171623/171623	U-----	200	untouched ('')	application/pdf	etag:%2229e67-4d98de8e85900%22	http://www.cis.upenn.edu/~cis194/spring13/hw/05-type-classes.pdf	www.cis.upenn.edu/_cis194/spring13/hw/05-type-classes.pdf	(from http://www.cis.upenn.edu/~cis194/spring13/lectures.html)
09:44:39	3743/3743	U-----	200	untouched ('')	text/x-haskell	etag:%22e9f-4d98de8d916c0%22	http://www.cis.upenn.edu/~cis194/spring13/extras/05-type-classes/Parser.hs	www.cis.upenn.edu/_cis194/spring13/extras/05-type-classes/Parser.hs	(from http://www.cis.upenn.edu/~cis194/spring13/lectures.html)
09:44:39	2213/2213	U-----	200	untouched ('')	text/x-haskell	etag:%228a5-4d98de8d916c0%22	http://www.cis.upenn.edu/~cis194/spring13/extras/05-type-classes/StackVM.hs	www.cis.upenn.edu/_cis194/spring13/extras/05-type-classes/StackVM.hs	(from http://www.cis.upenn.edu/~cis194/spring13/lectures.html)
09:44:39	19951/19951	U-----	200	untouched ('')	text/x-literate-haskell	etag:%224def-4d98de8f79b40%22	http://www.cis.upenn.edu/~cis194/spring13/lectures/06-laziness.lhs	www.cis.upenn.edu/_cis194/spring13/lectures/06-laziness.lhs	(from http://www.cis.upenn.edu/~cis194/spring13/lectures.html)
09:44:39	398410/398410	U-----	200	untouched ('')	application/pdf	etag:%226144a-4d98de8e85900%22	http://www.cis.upenn.edu/~cis194/spring13/hw/06-laziness.pdf	www.cis.upenn.edu/_cis194/spring13/hw/06-laziness.pdf	(from http://www.cis.upenn.edu/~cis194/spring13/lectures.html)
09:44:39	18806/18806	U-----	200	untouched ('OK')	text/html	etag:%224976-4d98de8f79b40%22	http://www.cis.upenn.edu/~cis194/spring13/lectures/07-folds-monoids.html	www.cis.upenn.edu/_cis194/spring13/lectures/07-folds-monoids.html	(from http://www.cis.upenn.edu/~cis194/spring13/lectures.html)
